url_path,views_total,views_unique
/vishal2376/snaptick,333,264
/vishal2376/snaptick/tree/master/app,63,19
/vishal2376/snaptick/releases/tag/v3.0,57,46
/vishal2376/snaptick/tree/master/app/src,39,13
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,33,11
/vishal2376/snaptick/tree/master/app/src/main,30,12
/vishal2376/snaptick/releases,21,17
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/home_screen/HomeScreen.kt,20,4
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/presentation,16,5
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/MainActivity.kt,15,3
