url_path,views_total,views_unique
/vishal2376/snaptick,275,220
/vishal2376/snaptick/releases/tag/v3.0,60,53
/vishal2376/snaptick/releases,16,11
/vishal2376/snaptick/blob/master/README.md,12,2
/vishal2376/snaptick/issues,10,9
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,9,3
/vishal2376/snaptick/tree/master/app,7,6
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/MainActivity.kt,7,4
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/data/repositories/TaskRepository.kt,6,3
/vishal2376/snaptick/tree/master/app/src/main,6,3
