url_path,views_total,views_unique
/vishal2376/snaptick,465,388
/vishal2376/snaptick/tree/master/app,100,30
/vishal2376/snaptick/tree/master/app/src/main,85,25
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,80,17
/vishal2376/snaptick/tree/master/app/src,77,26
/vishal2376/snaptick/tree/master/app/src/main/res,49,13
/vishal2376/snaptick/releases/tag/v3.0,38,35
/vishal2376/snaptick/issues,26,17
/vishal2376/snaptick/commits/master,25,3
/vishal2376/snaptick/blob/master/README.md,24,2
