referrer,views_total,views_unique
github.com,89,39
alternativeto.net,54,32
Google,44,18
nyas1.github.io,4,2
openapk.net,4,1
DuckDuckGo,3,2
apt.izzysoft.de,3,1
vishal2376.github.io,1,1
wiki-index.pages.dev,1,1
Bing,1,1
