url_path,views_total,views_unique
/vishal2376/snaptick,251,193
/vishal2376/snaptick/releases/tag/v3.3,44,32
/vishal2376/snaptick/releases/tag/v4.0,31,16
/vishal2376/snaptick/releases,16,10
/vishal2376/snaptick/tree/master/app,4,4
/vishal2376/snaptick/discussions,3,3
/vishal2376/snaptick/issues,3,3
/vishal2376/snaptick/tree/master/app/src,3,3
/vishal2376/snaptick/tree/master/app/src/main,3,3
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/data/repositories/TaskRepository.kt,3,1
