time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-21 00:00:00+00:00,6,2,61,23
2025-04-22 00:00:00+00:00,4,4,34,20
2025-04-23 00:00:00+00:00,5,5,128,26
2025-04-24 00:00:00+00:00,4,3,276,27
2025-04-25 00:00:00+00:00,5,3,109,21
2025-04-26 00:00:00+00:00,1,1,59,14
2025-04-27 00:00:00+00:00,5,2,50,16
2025-04-28 00:00:00+00:00,1,1,40,17
2025-04-29 00:00:00+00:00,2,2,61,15
2025-04-30 00:00:00+00:00,4,2,45,22
2025-05-01 00:00:00+00:00,1,1,48,19
2025-05-02 00:00:00+00:00,4,4,55,19
2025-05-03 00:00:00+00:00,6,3,65,24
2025-05-04 00:00:00+00:00,10,10,43,17
