time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-15 00:00:00+00:00,6.0,3.0,50,30
2024-09-16 00:00:00+00:00,1.0,1.0,29,18
2024-09-17 00:00:00+00:00,,,43,25
2024-09-18 00:00:00+00:00,5.0,3.0,33,23
2024-09-19 00:00:00+00:00,,,29,18
2024-09-20 00:00:00+00:00,5.0,5.0,52,11
2024-09-21 00:00:00+00:00,1.0,1.0,25,16
2024-09-22 00:00:00+00:00,,,91,26
2024-09-23 00:00:00+00:00,3.0,3.0,104,29
2024-09-24 00:00:00+00:00,3.0,3.0,87,15
2024-09-25 00:00:00+00:00,1.0,1.0,48,25
2024-09-26 00:00:00+00:00,1.0,1.0,24,13
2024-09-27 00:00:00+00:00,,,81,17
2024-09-28 00:00:00+00:00,,,13,8
