url_path,views_total,views_unique
/vishal2376/snaptick,279,203
/vishal2376/snaptick/releases/tag/v3.2,48,40
/vishal2376/snaptick/issues,18,10
/vishal2376/snaptick/tree/master/app,16,9
/vishal2376/snaptick/tree/master/app/src,12,8
/vishal2376/snaptick/tree/master/app/src/main,9,4
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/presentation/add_edit_screen,9,1
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/presentation,8,3
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/add_edit_screen/AddTaskScreen.kt,8,1
/vishal2376/snaptick/releases/tag/v3.0,7,3
