url_path,views_total,views_unique
/vishal2376/snaptick,270,194
/vishal2376/snaptick/releases/tag/v3.1,25,24
/vishal2376/snaptick/releases,21,17
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,15,7
/vishal2376/snaptick/tree/master/app,14,10
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/presentation,13,6
/vishal2376/snaptick/tree/master/app/src,12,7
/vishal2376/snaptick/tree/master/app/src/main,11,7
/vishal2376/snaptick/issues,6,6
/vishal2376/snaptick/issues/19,6,5
