time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-14 00:00:00+00:00,21,5,28,20
2025-10-15 00:00:00+00:00,20,8,22,18
2025-10-16 00:00:00+00:00,8,3,24,15
2025-10-17 00:00:00+00:00,7,4,42,20
2025-10-18 00:00:00+00:00,9,4,27,17
2025-10-19 00:00:00+00:00,16,4,33,20
2025-10-20 00:00:00+00:00,9,6,64,21
2025-10-21 00:00:00+00:00,21,6,23,16
2025-10-22 00:00:00+00:00,10,5,26,19
2025-10-23 00:00:00+00:00,5,5,34,21
2025-10-24 00:00:00+00:00,26,7,27,21
2025-10-25 00:00:00+00:00,9,3,38,16
2025-10-26 00:00:00+00:00,23,6,22,9
2025-10-27 00:00:00+00:00,3,3,18,14
