time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,17,10,37,24
2026-04-06 00:00:00+00:00,4,4,20,14
2026-04-07 00:00:00+00:00,14,7,26,20
2026-04-08 00:00:00+00:00,17,7,13,9
2026-04-09 00:00:00+00:00,21,9,82,22
2026-04-10 00:00:00+00:00,30,15,27,15
2026-04-11 00:00:00+00:00,18,12,36,17
2026-04-12 00:00:00+00:00,34,12,32,23
2026-04-13 00:00:00+00:00,33,11,37,23
2026-04-14 00:00:00+00:00,111,5,36,18
2026-04-15 00:00:00+00:00,6,6,21,14
2026-04-16 00:00:00+00:00,23,11,24,18
2026-04-17 00:00:00+00:00,35,10,27,15
2026-04-18 00:00:00+00:00,17,10,16,12
