url_path,views_total,views_unique
/vishal2376/snaptick,258,193
/vishal2376/snaptick/releases/tag/v3.1,31,27
/vishal2376/snaptick/tree/master/app,15,12
/vishal2376/snaptick/releases,12,11
/vishal2376/snaptick/tree/master/app/src,9,7
/vishal2376/snaptick/tree/master/app/src/main,8,7
/vishal2376/snaptick/issues,5,5
/vishal2376/snaptick/tree/master,5,3
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,5,3
/vishal2376/snaptick/blob/1c2cdcb4bfb6ede5222ecc402f774c6fdeefae2a/app/src/main/java/com/vishal2376/snaptick/presentation/viewmodels/TaskViewModel.kt,5,1
