url_path,views_total,views_unique
/vishal2376/snaptick,304,208
/vishal2376/snaptick/releases/tag/v3.1,34,29
/vishal2376/snaptick/releases,19,17
/vishal2376/snaptick/tree/master/app,14,11
/vishal2376/snaptick/issues,10,5
/vishal2376/snaptick/tree/master/app/src/main,9,7
/vishal2376/snaptick/tree/master/app/src,8,7
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,6,5
/vishal2376/snaptick/tree/master/.github/workflows,5,5
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/presentation,5,3
