url_path,views_total,views_unique
/vishal2376/snaptick,293,220
/vishal2376/snaptick/releases/tag/v3.0,62,53
/vishal2376/snaptick/releases,15,10
/vishal2376/snaptick/blob/master/README.md,12,2
/vishal2376/snaptick/issues,11,9
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,10,4
/vishal2376/snaptick/tree/master/app,9,8
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/MainActivity.kt,8,5
/vishal2376/snaptick/tree/master/app/src/main,8,4
/vishal2376/snaptick/tree/master/app/src,6,5
