url_path,views_total,views_unique
/vishal2376/snaptick,541,412
/vishal2376/snaptick/releases/tag/v3.0,119,99
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,62,11
/vishal2376/snaptick/tree/master/app,55,20
/vishal2376/snaptick/tree/master/app/src,42,16
/vishal2376/snaptick/tree/master/app/src/main,36,16
/vishal2376/snaptick/issues,22,11
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/presentation,22,5
/vishal2376/snaptick/releases,19,18
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/ui/theme,18,7
