url_path,views_total,views_unique
/vishal2376/snaptick,236,180
/vishal2376/snaptick/releases/tag/v3.3,31,24
/vishal2376/snaptick/releases,10,9
/vishal2376/snaptick/issues,3,2
/vishal2376/snaptick/issues/93,3,2
/vishal2376/snaptick/commit/25ceb24e5e89b58a40270fd0ff32e533f1018999,2,2
/vishal2376/snaptick/tree/master,2,2
/vishal2376/snaptick/tree/master/app,2,2
/vishal2376/snaptick/commit/220c02437c038787ad26fc34a8f10127eee9f168,1,1
/vishal2376/snaptick/commit/f9da8b116d643ac7c52353a85ea3b84006c7cc36,1,1
