url_path,views_total,views_unique
/vishal2376/snaptick,224,166
/vishal2376/snaptick/releases/tag/v3.1,30,27
/vishal2376/snaptick/releases,19,13
/vishal2376/snaptick/issues,19,8
/vishal2376/snaptick/tree/master/app,9,5
/vishal2376/snaptick/tree/master,9,3
/vishal2376/snaptick/issues/19,6,4
/vishal2376/snaptick/tree/master/app/src,5,4
/vishal2376/snaptick/tree/master/app/src/main,5,4
/vishal2376/snaptick/blob/533c5ffdfe3f69b5fe6547df0684bff458bd3f7f/app/src/main/java/com/vishal2376/snaptick/presentation/home_screen/HomeScreen.kt,5,1
