time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-11 00:00:00+00:00,4,3,21,15
2026-02-12 00:00:00+00:00,12,7,18,14
2026-02-13 00:00:00+00:00,12,6,11,11
2026-02-14 00:00:00+00:00,10,6,14,13
2026-02-15 00:00:00+00:00,12,7,26,18
2026-02-16 00:00:00+00:00,20,14,27,16
2026-02-17 00:00:00+00:00,14,9,12,9
2026-02-18 00:00:00+00:00,6,5,21,17
2026-02-19 00:00:00+00:00,19,8,31,21
2026-02-20 00:00:00+00:00,12,7,14,11
2026-02-21 00:00:00+00:00,17,12,18,11
2026-02-22 00:00:00+00:00,16,9,32,17
2026-02-23 00:00:00+00:00,33,9,24,15
2026-02-24 00:00:00+00:00,8,3,22,18
