time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-31 00:00:00+00:00,3.0,3.0,29,17
2025-09-01 00:00:00+00:00,6.0,6.0,30,20
2025-09-02 00:00:00+00:00,6.0,4.0,22,16
2025-09-03 00:00:00+00:00,4.0,3.0,30,21
2025-09-04 00:00:00+00:00,2.0,2.0,20,12
2025-09-05 00:00:00+00:00,2.0,2.0,24,15
2025-09-06 00:00:00+00:00,4.0,4.0,37,22
2025-09-07 00:00:00+00:00,4.0,4.0,28,20
2025-09-08 00:00:00+00:00,3.0,3.0,30,15
2025-09-09 00:00:00+00:00,4.0,4.0,35,27
2025-09-10 00:00:00+00:00,4.0,4.0,36,22
2025-09-11 00:00:00+00:00,1.0,1.0,22,17
2025-09-12 00:00:00+00:00,4.0,4.0,33,21
2025-09-13 00:00:00+00:00,,,17,12
