url_path,views_total,views_unique
/vishal2376/snaptick,232,175
/vishal2376/snaptick/releases/tag/v3.1,33,29
/vishal2376/snaptick/issues,18,7
/vishal2376/snaptick/releases,17,12
/vishal2376/snaptick/tree/master/app,12,5
/vishal2376/snaptick/tree/master,9,3
/vishal2376/snaptick/issues/19,6,4
/vishal2376/snaptick/tree/master/app/src,5,4
/vishal2376/snaptick/tree/master/app/src/main,5,4
/vishal2376/snaptick/blob/533c5ffdfe3f69b5fe6547df0684bff458bd3f7f/app/src/main/java/com/vishal2376/snaptick/presentation/home_screen/HomeScreen.kt,5,1
