time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-18 00:00:00+00:00,,,31,17
2024-10-19 00:00:00+00:00,5.0,2.0,95,15
2024-10-20 00:00:00+00:00,,,25,16
2024-10-21 00:00:00+00:00,,,26,16
2024-10-22 00:00:00+00:00,1.0,1.0,32,18
2024-10-23 00:00:00+00:00,1.0,1.0,37,25
2024-10-24 00:00:00+00:00,,,25,13
2024-10-25 00:00:00+00:00,,,24,15
2024-10-26 00:00:00+00:00,,,27,18
2024-10-27 00:00:00+00:00,3.0,1.0,24,19
2024-10-28 00:00:00+00:00,,,39,22
2024-10-29 00:00:00+00:00,,,35,26
2024-10-30 00:00:00+00:00,2.0,1.0,21,14
2024-10-31 00:00:00+00:00,6.0,6.0,30,16
