time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,3,3,27,16
2026-08-03 00:00:00+00:00,14,7,17,10
2026-08-04 00:00:00+00:00,3,3,38,22
2026-08-05 00:00:00+00:00,6,6,38,17
2026-08-06 00:00:00+00:00,5,5,11,8
2026-08-07 00:00:00+00:00,3,3,25,16
2026-08-08 00:00:00+00:00,14,5,27,20
2026-08-09 00:00:00+00:00,12,8,41,14
2026-08-10 00:00:00+00:00,8,3,22,14
2026-08-11 00:00:00+00:00,15,8,21,14
2026-08-12 00:00:00+00:00,10,5,15,13
2026-08-13 00:00:00+00:00,48,8,19,15
2026-08-14 00:00:00+00:00,4,3,25,15
2026-08-15 00:00:00+00:00,7,7,24,15
