url_path,views_total,views_unique
/vishal2376/snaptick,278,223
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,33,7
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/viewmodels/TaskViewModel.kt,32,1
/vishal2376/snaptick/releases/tag/v3.0,30,26
/vishal2376/snaptick/tree/master/app,28,11
/vishal2376/snaptick/tree/master/app/src/main,24,7
/vishal2376/snaptick/tree/master/app/src,22,8
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/home_screen/HomeScreen.kt,22,2
/vishal2376/snaptick/commits/master,18,3
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/ui/theme/Theme.kt,17,6
