url_path,views_total,views_unique
/vishal2376/snaptick,456,338
/vishal2376/snaptick/releases/tag/v3.0,102,82
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,54,12
/vishal2376/snaptick/tree/master/app,51,19
/vishal2376/snaptick/tree/master/app/src,43,15
/vishal2376/snaptick/tree/master/app/src/main,38,15
/vishal2376/snaptick/blob/master/README.md,25,4
/vishal2376/snaptick/issues,22,14
/vishal2376/snaptick/releases,19,17
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/widget,19,6
