url_path,views_total,views_unique
/vishal2376/snaptick,253,193
/vishal2376/snaptick/releases/tag/v4.0,40,23
/vishal2376/snaptick/releases/tag/v3.3,36,25
/vishal2376/snaptick/releases,18,12
/vishal2376/snaptick/issues,10,7
/vishal2376/snaptick/tree/master/app,7,5
/vishal2376/snaptick/tree/master/app/src,5,4
/vishal2376/snaptick/tree/master/app/src/main,5,4
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/data/repositories/TaskRepository.kt,5,1
/vishal2376/snaptick/discussions,4,4
