url_path,views_total,views_unique
/vishal2376/snaptick,307,212
/vishal2376/snaptick/releases/tag/v3.3,32,30
/vishal2376/snaptick/issues,21,5
/vishal2376/snaptick/releases,17,13
/vishal2376/snaptick/tree/master/app,16,10
/vishal2376/snaptick/blob/master/README.md,16,2
/vishal2376/snaptick/tree/master/app/src,13,10
/vishal2376/snaptick/tree/master/app/src/main,11,10
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/calender_screen/CalenderScreen.kt,10,3
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,9,9
