url_path,views_total,views_unique
/vishal2376/snaptick,301,230
/vishal2376/snaptick/releases/tag/v3.3,52,43
/vishal2376/snaptick/releases,29,24
/vishal2376/snaptick/blob/master/app/build.gradle.kts,20,1
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/navigation/AppNavigation.kt,18,1
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/add_edit_screen/AddTaskScreen.kt,15,1
/vishal2376/snaptick/issues,13,9
/vishal2376/snaptick/tree/master/app,12,11
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/viewmodels/TaskViewModel.kt,11,1
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/MainActivity.kt,10,2
