time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-11 00:00:00+00:00,2,2,59,23
2025-02-12 00:00:00+00:00,5,2,31,19
2025-02-13 00:00:00+00:00,4,2,44,22
2025-02-14 00:00:00+00:00,1,1,37,16
2025-02-15 00:00:00+00:00,6,4,49,14
2025-02-16 00:00:00+00:00,5,2,15,12
2025-02-17 00:00:00+00:00,5,2,52,25
2025-02-18 00:00:00+00:00,2,2,20,14
2025-02-19 00:00:00+00:00,4,2,43,23
2025-02-20 00:00:00+00:00,9,5,27,16
2025-02-21 00:00:00+00:00,1,1,25,17
2025-02-22 00:00:00+00:00,12,8,93,26
2025-02-23 00:00:00+00:00,10,4,88,23
2025-02-24 00:00:00+00:00,1,1,27,14
