time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,111,5,36,18
2026-04-15 00:00:00+00:00,6,6,21,14
2026-04-16 00:00:00+00:00,23,11,24,18
2026-04-17 00:00:00+00:00,35,10,27,15
2026-04-18 00:00:00+00:00,17,10,16,12
2026-04-19 00:00:00+00:00,47,19,34,20
2026-04-20 00:00:00+00:00,55,22,16,15
2026-04-21 00:00:00+00:00,49,25,56,17
2026-04-22 00:00:00+00:00,106,34,18,15
2026-04-23 00:00:00+00:00,84,29,20,9
2026-04-24 00:00:00+00:00,162,34,19,14
2026-04-25 00:00:00+00:00,66,21,14,11
2026-04-26 00:00:00+00:00,30,9,16,14
2026-04-27 00:00:00+00:00,1302,59,35,19
