url_path,views_total,views_unique
/vishal2376/snaptick,309,214
/vishal2376/snaptick/releases/tag/v3.3,69,50
/vishal2376/snaptick/releases,27,16
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/add_edit_screen/AddTaskScreen.kt,19,1
/vishal2376/snaptick/issues,12,7
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/navigation/AppNavigation.kt,11,1
/vishal2376/snaptick/tree/master/app,9,8
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/this_week_task_screen/ThisWeekTaskScreen.kt,7,1
/vishal2376/snaptick/tree/master/app/src,6,6
/vishal2376/snaptick/tree/master/app/src/main,6,6
